t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
21542,2.4808,2.3216,2.1419,0.827,4.1851,-0.0037,-0.1001,0.01003,-0.02,-1.014
21641,2.3602,2.1114,1.8744,0.827,4.1851,-0.0232,-0.2127,0.04579,-0.238,-1.399
21744,2.3753,2.1554,1.9199,0.827,4.1851,-0.0278,-0.1837,0.03452,-0.186,-1.363
21845,2.4808,2.3216,2.176,0.827,4.1851,0.0182,-0.0853,0.0076,0.064,-0.983
21948,2.3702,2.1359,1.9029,0.827,4.1851,-0.0234,-0.1969,0.03931,-0.218,-1.161
22047,2.2999,2.2287,2.0281,0.827,4.2412,-0.0342,-0.0227,0.00169,-0.279,-1.168
22150,2.4758,2.3216,2.1703,0.827,4.1851,0.0136,-0.0828,0.00704,-0.226,-1.12
22252,2.3853,2.1848,1.9996,0.827,4.1851,0.0008,-0.143,0.02044,-0.128,-1.082
22351,2.4808,2.3216,2.1646,0.827,4.1851,0.0109,-0.0902,0.00825,0.064,-0.922
22453,2.3451,2.1017,1.8858,0.827,4.1851,-0.0106,-0.1983,0.03946,-0.287,-1.227
22555,2.3049,2.1652,1.9199,0.827,4.1851,-0.0496,-0.1093,0.01441,-0.286,-1.076
22657,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,0.028,-1.004
22759,2.3401,2.1701,1.9711,0.827,4.1851,-0.014,-0.1189,0.01434,-0.152,-1.182
22859,2.3702,2.1457,1.9029,0.827,4.1851,-0.0316,-0.1915,0.03768,-0.247,-1.206
22961,2.3753,2.1457,1.9598,0.827,4.1851,0.006,-0.1718,0.02955,-0.201,-1.214
23062,2.3602,2.1261,1.8744,0.827,4.1851,-0.0355,-0.2047,0.04316,-0.25,-1.302
23164,2.4858,2.3216,2.1476,0.827,4.1851,0.0009,-0.1025,0.01051,0.042,-0.936
23263,2.2747,2.2239,2.011,0.827,4.1851,-0.046,-0.0081,0.00218,-0.346,-1.02
23368,2.3753,2.1408,1.9142,0.827,4.1851,-0.0192,-0.1942,0.03808,-0.175,-1.108
23467,2.4858,2.3265,2.1589,0.827,4.1851,0.0042,-0.0949,0.00903,-0.152,-1.054
23570,2.2496,2.2043,1.9711,0.827,4.1851,-0.0601,-0.0114,0.00374,-0.273,-1.178
23668,2.2446,2.1848,1.9996,0.827,4.1851,-0.0264,-0.0049,0.00072,0.045,-1.002
23772,2.3753,2.1505,1.9199,0.8856,4.1851,-0.0237,-0.1864,0.0353,-0.195,-1.164
23874,2.325,2.0821,2.0451,0.827,4.1851,0.1043,-0.1203,0.02534,-0.112,-1.212
23977,2.3149,2.0723,2.085,0.827,4.1851,0.1361,-0.0985,0.02824,-0.273,-1.097
24077,2.4708,2.3216,2.0679,0.827,4.1851,-0.0532,-0.1223,0.01778,-0.325,-1.2
24179,2.3652,2.131,1.9086,0.827,4.1851,-0.0166,-0.1921,0.0372,-0.091,-1.046
24279,2.4808,2.3216,2.1646,0.827,4.1851,0.0109,-0.0902,0.00825,-0.174,-1.009
24382,2.2596,2.2043,1.9882,0.827,4.1851,-0.0472,-0.0139,0.00242,-0.2,-1.027
24480,2.3451,2.1114,1.8687,0.827,4.1851,-0.0298,-0.2004,0.04105,0.021,-1.02
24583,2.3501,2.1261,1.9882,0.827,4.1851,0.0358,-0.1455,0.02245,-0.221,-1.133
24686,2.2797,2.2043,1.9996,0.827,4.1851,-0.036,-0.0287,0.00212,-0.262,-1.273
24788,2.4808,2.3167,2.1817,0.8563,4.1851,0.026,-0.0855,0.00798,0.1,-1.066
24889,2.335,2.1652,1.9484,0.827,4.1851,-0.0255,-0.1266,0.01667,-0.221,-1.094
24988,2.3753,2.1457,1.8915,0.827,4.1851,-0.0379,-0.2014,0.04199,-0.159,-1.102
25089,2.335,2.0821,1.9768,0.827,4.1851,0.0623,-0.1597,0.0294,-0.293,-1.197
25188,2.2848,2.2239,1.9655,0.827,4.1851,-0.0733,-0.0377,0.0068,-0.119,-1.128
25294,0.1585,0.0,-0.4701,0.827,4.1851,-0.1906,-0.2252,0.08702,-0.607,-1.487
25393,2.3049,2.0674,2.0224,0.827,4.1851,0.098,-0.1184,0.02364,-0.186,-1.174
25497,2.335,2.1114,1.8915,0.827,4.1571,-0.0171,-0.1807,0.03293,-0.153,-1.139
25599,2.4858,2.3216,2.1589,0.827,4.1851,0.0082,-0.0976,0.00959,0.025,-0.969
25702,2.2898,2.219,2.0622,0.827,4.1851,-0.006,-0.0034,5e-05,-0.122,-1.047
25803,2.3149,2.0723,2.0337,0.827,4.1851,0.1032,-0.1207,0.02522,0.03,-0.931
